     0               2              12              22              32              42              52              62              72              82              92             102             132             162             192             222             252             282             312             342             372             402             432             462             492             522             552             652             752             852             952            1052            1152            1252            1352            1452            1752            2052            2352            2652            2952
    20    0.509885E-05    0.107293E-03    0.202796E-03    0.285139E-03    0.349390E-03    0.391839E-03    0.411447E-03    0.409846E-03    0.388464E-03    0.349094E-03    0.595265E-03    0.336413E-03   -0.126120E-03   -0.325400E-03   -0.257855E-03   -0.978481E-05    0.333109E-03    0.707820E-03    0.103083E-02    0.117578E-02    0.104886E-02    0.676751E-03    0.213289E-03   -0.148047E-03   -0.262107E-03   -0.197262E-03    0.428194E-02    0.217321E-02   -0.676001E-03    0.368137E-02    0.253722E-02   -0.909399E-03    0.241219E-02    0.216343E-02   -0.187143E-02   -0.205707E-02   -0.127756E-02   -0.605920E-03   -0.566166E-03   -0.988020E-03
    40    0.444213E-05    0.941981E-04    0.178770E-03    0.253032E-03    0.312796E-03    0.354236E-03    0.377263E-03    0.380805E-03    0.366629E-03    0.336569E-03    0.589072E-03    0.400142E-03   -0.253553E-04   -0.226753E-03   -0.186837E-03    0.288287E-04    0.349325E-03    0.708523E-03    0.101389E-02    0.114442E-02    0.101929E-02    0.666446E-03    0.228399E-03   -0.112870E-03   -0.220321E-03   -0.123677E-03    0.420300E-02    0.212820E-02   -0.566989E-03    0.361161E-02    0.245734E-02   -0.813767E-03    0.236500E-02    0.205519E-02   -0.172579E-02   -0.191231E-02   -0.121905E-02   -0.571551E-03   -0.546693E-03   -0.963234E-03
    60    0.376199E-05    0.800153E-04    0.153016E-03    0.218434E-03    0.273552E-03    0.315060E-03    0.342205E-03    0.353788E-03    0.349723E-03    0.331629E-03    0.603480E-03    0.512939E-03    0.126358E-03   -0.879826E-04   -0.886584E-04    0.903533E-04    0.395482E-03    0.750745E-03    0.104517E-02    0.116115E-02    0.103196E-02    0.688909E-03    0.266441E-03   -0.620139E-04   -0.165170E-03   -0.812092E-05    0.433773E-02    0.220739E-02   -0.419538E-03    0.372778E-02    0.250079E-02   -0.704160E-03    0.243107E-02    0.204666E-02   -0.159062E-02   -0.178697E-02   -0.117241E-02   -0.556587E-03   -0.549946E-03   -0.974980E-03
    80    0.298928E-05    0.635083E-04    0.122379E-03    0.176980E-03    0.225851E-03    0.266555E-03    0.297303E-03    0.317131E-03    0.325142E-03    0.321589E-03    0.614643E-03    0.652833E-03    0.321606E-03    0.903321E-04    0.373839E-04    0.174300E-03    0.466870E-03    0.821551E-03    0.110578E-02    0.120305E-02    0.106414E-02    0.729373E-03    0.323748E-03    0.865888E-05   -0.892168E-04    0.157701E-03    0.459669E-02    0.236986E-02   -0.209929E-03    0.395495E-02    0.262961E-02   -0.555958E-03    0.256818E-02    0.209728E-02   -0.141376E-02   -0.165742E-02   -0.111664E-02   -0.538420E-03   -0.562623E-03   -0.100191E-02
   100    0.211038E-05    0.453258E-04    0.885331E-04    0.130728E-03    0.171266E-03    0.208551E-03    0.241790E-03    0.269063E-03    0.289429E-03    0.301478E-03    0.609745E-03    0.797009E-03    0.540958E-03    0.294717E-03    0.185029E-03    0.281374E-03    0.566006E-03    0.922093E-03    0.119426E-02    0.126784E-02    0.111408E-02    0.785443E-03    0.399468E-03    0.101534E-03    0.116089E-04    0.384186E-03    0.498476E-02    0.261634E-02    0.860727E-04    0.429350E-02    0.284637E-02   -0.348165E-03    0.276905E-02    0.220425E-02   -0.117655E-02   -0.148119E-02   -0.105815E-02   -0.526380E-03   -0.581065E-03   -0.103785E-02
   120    0.123883E-05    0.267833E-04    0.536189E-04    0.821085E-04    0.112806E-03    0.145209E-03    0.178575E-03    0.211488E-03    0.242329E-03    0.269043E-03    0.580239E-03    0.918213E-03    0.756615E-03    0.505860E-03    0.348089E-03    0.414920E-03    0.699229E-03    0.105824E-02    0.131470E-02    0.135972E-02    0.118523E-02    0.860045E-03    0.495520E-03    0.219267E-03    0.142356E-03    0.690610E-03    0.552455E-02    0.297270E-02    0.496314E-03    0.476522E-02    0.316954E-02   -0.563813E-04    0.305073E-02    0.237931E-02   -0.841673E-03   -0.123744E-02   -0.988851E-03   -0.509402E-03   -0.604721E-03   -0.107902E-02
   140    0.385175E-06    0.887048E-05    0.196802E-04    0.345223E-04    0.547942E-04    0.807549E-04    0.112180E-03    0.148131E-03    0.186655E-03    0.225312E-03    0.523011E-03    0.989074E-03    0.933834E-03    0.701687E-03    0.523478E-03    0.583854E-03    0.877886E-03    0.123848E-02    0.147502E-02    0.148565E-02    0.128459E-02    0.958829E-03    0.616679E-03    0.367571E-03    0.313209E-03    0.110492E-02    0.625170E-02    0.347236E-02    0.107045E-02    0.540675E-02    0.362738E-02    0.356368E-03    0.343270E-02    0.263461E-02   -0.371412E-03   -0.917276E-03   -0.896605E-03   -0.493129E-03   -0.633455E-03   -0.112092E-02
   160   -0.348852E-06   -0.697583E-05   -0.104036E-04   -0.810905E-05    0.203387E-05    0.210315E-04    0.491516E-04    0.855042E-04    0.128253E-03    0.174658E-03    0.443193E-03    0.993220E-03    0.104443E-02    0.867193E-03    0.716421E-03    0.801732E-03    0.111555E-02    0.147458E-02    0.168447E-02    0.165537E-02    0.142351E-02    0.109373E-02    0.773768E-03    0.559103E-03    0.540477E-03    0.167057E-02    0.720815E-02    0.417164E-02    0.187471E-02    0.625817E-02    0.426449E-02    0.934792E-03    0.393957E-02    0.300105E-02    0.289757E-03   -0.479940E-03   -0.795456E-03   -0.477055E-03   -0.665273E-03   -0.115594E-02
   180   -0.914349E-06   -0.192121E-04   -0.338568E-04   -0.415218E-04   -0.399506E-04   -0.274177E-04   -0.355120E-05    0.308903E-04    0.742556E-04    0.123616E-03    0.351206E-03    0.931756E-03    0.108269E-02    0.100659E-02    0.942679E-03    0.109014E-02    0.143122E-02    0.178166E-02    0.195585E-02    0.188219E-02    0.161877E-02    0.128393E-02    0.987845E-03    0.817563E-03    0.852078E-03    0.244840E-02    0.845996E-02    0.514569E-02    0.300367E-02    0.737037E-02    0.513994E-02    0.175270E-02    0.460701E-02    0.350190E-02    0.122007E-02    0.998937E-04   -0.654461E-03   -0.465898E-03   -0.698019E-03   -0.117415E-02
   200   -0.122039E-05   -0.258795E-04   -0.467091E-04   -0.602311E-04   -0.640944E-04   -0.563984E-04   -0.365926E-04   -0.541809E-05    0.355403E-04    0.834935E-04    0.270835E-03    0.841457E-03    0.108695E-02    0.115643E-02    0.123496E-02    0.147394E-02    0.184422E-02    0.217358E-02    0.230167E-02    0.218255E-02    0.189205E-02    0.155834E-02    0.129330E-02    0.118060E-02    0.128468E-02    0.351056E-02    0.100555E-01    0.649345E-02    0.456465E-02    0.880307E-02    0.632004E-02    0.288410E-02    0.545836E-02    0.417103E-02    0.248929E-02    0.853056E-03   -0.491602E-03   -0.458564E-03   -0.727903E-03   -0.116386E-02
   220   -0.116271E-05   -0.248264E-04   -0.450049E-04   -0.582665E-04   -0.625932E-04   -0.561899E-04   -0.385969E-04   -0.103670E-04    0.271805E-04    0.717288E-04    0.241580E-03    0.805934E-03    0.114709E-02    0.138749E-02    0.163644E-02    0.197808E-02    0.236681E-02    0.265884E-02    0.273282E-02    0.257210E-02    0.226822E-02    0.195140E-02    0.173420E-02    0.169433E-02    0.187956E-02    0.492660E-02    0.120340E-01    0.831242E-02    0.666319E-02    0.105884E-01    0.785793E-02    0.440772E-02    0.652223E-02    0.503334E-02    0.417060E-02    0.180006E-02   -0.327977E-03   -0.457696E-03   -0.750546E-03   -0.110612E-02
   240   -0.671147E-06   -0.139947E-04   -0.243367E-04   -0.291704E-04   -0.266032E-04   -0.154621E-04    0.492707E-05    0.340099E-04    0.709013E-04    0.114083E-03    0.323553E-03    0.947147E-03    0.138499E-02    0.178675E-02    0.218761E-02    0.260725E-02    0.298920E-02    0.322715E-02    0.324636E-02    0.306076E-02    0.276969E-02    0.249816E-02    0.235174E-02    0.239683E-02    0.265822E-02    0.670505E-02    0.143672E-01    0.106621E-01    0.931637E-02    0.126884E-01    0.977292E-02    0.632511E-02    0.777545E-02    0.608676E-02    0.626001E-02    0.290398E-02   -0.175565E-03   -0.473565E-03   -0.762296E-03   -0.992659E-03
   260    0.368683E-06    0.812407E-05    0.180077E-04    0.319590E-04    0.509980E-04    0.760976E-04    0.107711E-03    0.145479E-03    0.189008E-03    0.237469E-03    0.579664E-03    0.138022E-02    0.190197E-02    0.240742E-02    0.288843E-02    0.332546E-02    0.366453E-02    0.383919E-02    0.381876E-02    0.364078E-02    0.340181E-02    0.321096E-02    0.315704E-02    0.328695E-02    0.360335E-02    0.876764E-02    0.169445E-01    0.134949E-01    0.124141E-01    0.149919E-01    0.119891E-01    0.853757E-02    0.916735E-02    0.728417E-02    0.862603E-02    0.405068E-02   -0.638060E-04   -0.508507E-03   -0.757422E-03   -0.817702E-03
   280    0.191267E-05    0.410853E-04    0.816432E-04    0.124755E-03    0.170677E-03    0.219805E-03    0.272677E-03    0.328751E-03    0.387889E-03    0.449270E-03    0.102516E-02    0.211803E-02    0.268074E-02    0.320025E-02    0.365588E-02    0.403192E-02    0.429586E-02    0.441542E-02    0.439144E-02    0.426721E-02    0.412353E-02    0.404256E-02    0.408526E-02    0.427714E-02    0.460686E-02    0.108643E-01    0.194646E-01    0.165440E-01    0.155910E-01    0.172417E-01    0.142803E-01    0.107683E-01    0.105192E-01    0.849065E-02    0.109476E-01    0.504077E-02   -0.407116E-04   -0.551428E-03   -0.733651E-03   -0.596183E-03
   300    0.376258E-05    0.814755E-04    0.159929E-03    0.239326E-03    0.319380E-03    0.399652E-03    0.480438E-03    0.560808E-03    0.640359E-03    0.718613E-03    0.158998E-02    0.302093E-02    0.355587E-02    0.398722E-02    0.432517E-02    0.458399E-02    0.476494E-02    0.486169E-02    0.488483E-02    0.486309E-02    0.484673E-02    0.488157E-02    0.500085E-02    0.521287E-02    0.550761E-02    0.126565E-01    0.215972E-01    0.193793E-01    0.183492E-01    0.191347E-01    0.162972E-01    0.126755E-01    0.116658E-01    0.952655E-02    0.128486E-01    0.574046E-02   -0.120030E-03   -0.602383E-03   -0.692531E-03   -0.359926E-03
   320    0.559000E-05    0.122037E-03    0.238405E-03    0.354357E-03    0.467667E-03    0.578265E-03    0.685298E-03    0.787593E-03    0.884568E-03    0.975605E-03    0.212062E-02    0.381450E-02    0.425463E-02    0.453644E-02    0.471646E-02    0.485333E-02    0.497944E-02    0.510266E-02    0.522257E-02    0.533505E-02    0.544939E-02    0.557364E-02    0.572543E-02    0.590756E-02    0.612887E-02    0.138030E-01    0.230072E-01    0.215063E-01    0.201868E-01    0.203573E-01    0.176842E-01    0.138925E-01    0.124140E-01    0.101909E-01    0.139570E-01    0.583892E-02   -0.274824E-03   -0.638447E-03   -0.636255E-03   -0.148590E-03
   340    0.697423E-05    0.153377E-03    0.298871E-03    0.441840E-03    0.579277E-03    0.710357E-03    0.833833E-03    0.948280E-03    0.105322E-02    0.114798E-02    0.246368E-02    0.425933E-02    0.456557E-02    0.469356E-02    0.474128E-02    0.480164E-02    0.492702E-02    0.512486E-02    0.536980E-02    0.561742E-02    0.583461E-02    0.600493E-02    0.614196E-02    0.626201E-02    0.639474E-02    0.141995E-01    0.235849E-01    0.226347E-01    0.209460E-01    0.208313E-01    0.182701E-01    0.143374E-01    0.127175E-01    0.103934E-01    0.142116E-01    0.555783E-02   -0.462896E-03   -0.652512E-03   -0.577365E-03    0.665372E-05
   360    0.770636E-05    0.167366E-03    0.325467E-03    0.478987E-03    0.624838E-03    0.762071E-03    0.888299E-03    0.100277E-02    0.110444E-02    0.119278E-02    0.253574E-02    0.425578E-02    0.443234E-02    0.445004E-02    0.443510E-02    0.448971E-02    0.466947E-02    0.497049E-02    0.533826E-02    0.569179E-02    0.596796E-02    0.614028E-02    0.622865E-02    0.627130E-02    0.632759E-02    0.139404E-01    0.234111E-01    0.227543E-01    0.207368E-01    0.206281E-01    0.180636E-01    0.140936E-01    0.125949E-01    0.101648E-01    0.137635E-01    0.491289E-02   -0.610266E-03   -0.629528E-03   -0.520377E-03    0.994436E-04
   380    0.742990E-05    0.161139E-03    0.312855E-03    0.458998E-03    0.597859E-03    0.726562E-03    0.843763E-03    0.947906E-03    0.103840E-02    0.111484E-02    0.235578E-02    0.387438E-02    0.396383E-02    0.393969E-02    0.393224E-02    0.404255E-02    0.431326E-02    0.472159E-02    0.518591E-02    0.560233E-02    0.589672E-02    0.603741E-02    0.606782E-02    0.604580E-02    0.605203E-02    0.132990E-01    0.227509E-01    0.221598E-01    0.199583E-01    0.199873E-01    0.173860E-01    0.134727E-01    0.122098E-01    0.966752E-02    0.130018E-01    0.428609E-02   -0.681465E-03   -0.580751E-03   -0.469236E-03    0.146744E-03
   400    0.630835E-05    0.137140E-03    0.266288E-03    0.390829E-03    0.508786E-03    0.618008E-03    0.717493E-03    0.805655E-03    0.881803E-03    0.945275E-03    0.199435E-02    0.325938E-02    0.332255E-02    0.331861E-02    0.337297E-02    0.357555E-02    0.395038E-02    0.445054E-02    0.497312E-02    0.540630E-02    0.568070E-02    0.578001E-02    0.576121E-02    0.570144E-02    0.568731E-02    0.125174E-01    0.218440E-01    0.211661E-01    0.189303E-01    0.191113E-01    0.164092E-01    0.127054E-01    0.116679E-01    0.903353E-02    0.121189E-01    0.372402E-02   -0.673022E-03   -0.515369E-03   -0.423633E-03    0.167437E-03
   420    0.471714E-05    0.102054E-03    0.198273E-03    0.291640E-03    0.381169E-03    0.465059E-03    0.542311E-03    0.611978E-03    0.673589E-03    0.726135E-03    0.154065E-02    0.255945E-02    0.265619E-02    0.271902E-02    0.286481E-02    0.317239E-02    0.364483E-02    0.421198E-02    0.475566E-02    0.516996E-02    0.540353E-02    0.546414E-02    0.541675E-02    0.534675E-02    0.533748E-02    0.118022E-01    0.209447E-01    0.201023E-01    0.179591E-01    0.182175E-01    0.154250E-01    0.119898E-01    0.110785E-01    0.837967E-02    0.113547E-01    0.332766E-02   -0.599974E-03   -0.445710E-03   -0.383680E-03    0.180328E-03
   440    0.294111E-05    0.629096E-04    0.122867E-03    0.181760E-03    0.239935E-03    0.296643E-03    0.351124E-03    0.402743E-03    0.451061E-03    0.495255E-03    0.107054E-02    0.187970E-02    0.205445E-02    0.221526E-02    0.246580E-02    0.287661E-02    0.343193E-02    0.403746E-02    0.457001E-02    0.493970E-02    0.512469E-02    0.515403E-02    0.510013E-02    0.504260E-02    0.505880E-02    0.112595E-01    0.201701E-01    0.191440E-01    0.171840E-01    0.174147E-01    0.145459E-01    0.114185E-01    0.105213E-01    0.779562E-02    0.107574E-01    0.307855E-02   -0.494009E-03   -0.377424E-03   -0.346524E-03    0.198478E-03
   460    0.118619E-05    0.260937E-04    0.516629E-04    0.785196E-04    0.107628E-03    0.139143E-03    0.172671E-03    0.208240E-03    0.245503E-03    0.283435E-03    0.643564E-03    0.128786E-02    0.156515E-02    0.184029E-02    0.220099E-02    0.270788E-02    0.332369E-02    0.394234E-02    0.444181E-02    0.475751E-02    0.489363E-02    0.490104E-02    0.485748E-02    0.482933E-02    0.488309E-02    0.109452E-01    0.196475E-01    0.184370E-01    0.166955E-01    0.167900E-01    0.139056E-01    0.110456E-01    0.100617E-01    0.736026E-02    0.103850E-01    0.296755E-02   -0.370056E-03   -0.320434E-03   -0.309912E-03    0.228526E-03
