     0               2              12              22              32              42              52              62              72              82              92             102             132             162             192             222             252             282             312             342             372             402             432             462             492             522             552             652             752             852             952            1052            1152            1252            1352            1452            1752            2052            2352            2652            2952
    20    0.323961E-05    0.679574E-04    0.129026E-03    0.182232E-03    0.225997E-03    0.257035E-03    0.274854E-03    0.280639E-03    0.274099E-03    0.255659E-03    0.455386E-03    0.305098E-03   -0.127626E-03   -0.398247E-03   -0.322002E-03    0.137075E-03    0.817859E-03    0.144860E-02    0.176216E-02    0.158815E-02    0.925836E-03   -0.302958E-04   -0.966586E-03   -0.154508E-02   -0.152642E-02   -0.189085E-02    0.781178E-02   -0.345600E-03   -0.526305E-02    0.695316E-02    0.125287E-02   -0.643873E-02    0.537438E-02    0.322701E-02   -0.113050E-01   -0.131373E-01   -0.582778E-02   -0.244418E-02    0.101679E-03    0.165073E-02
    40    0.306389E-05    0.649436E-04    0.123739E-03    0.175788E-03    0.218708E-03    0.250241E-03    0.269597E-03    0.276314E-03    0.270783E-03    0.253655E-03    0.452617E-03    0.302947E-03   -0.123348E-03   -0.381025E-03   -0.298832E-03    0.149022E-03    0.809198E-03    0.142026E-02    0.172359E-02    0.155210E-02    0.907452E-03   -0.255577E-04   -0.939401E-03   -0.150303E-02   -0.148468E-02   -0.183260E-02    0.762857E-02   -0.266221E-03   -0.513068E-02    0.670693E-02    0.126552E-02   -0.625718E-02    0.515525E-02    0.322781E-02   -0.108587E-01   -0.125315E-01   -0.530044E-02   -0.217258E-02    0.183690E-03    0.163602E-02
    60    0.303901E-05    0.647348E-04    0.123695E-03    0.176511E-03    0.220628E-03    0.253814E-03    0.275079E-03    0.283450E-03    0.279166E-03    0.262534E-03    0.469801E-03    0.316309E-03   -0.118913E-03   -0.372582E-03   -0.278200E-03    0.179457E-03    0.847316E-03    0.146541E-02    0.176933E-02    0.159102E-02    0.932061E-03   -0.216377E-04   -0.954598E-03   -0.152791E-02   -0.150476E-02   -0.184319E-02    0.784130E-02   -0.184424E-03   -0.521775E-02    0.681202E-02    0.136534E-02   -0.636438E-02    0.519685E-02    0.341813E-02   -0.109529E-01   -0.125582E-01   -0.503659E-02   -0.205836E-02    0.262969E-03    0.171065E-02
    80    0.312608E-05    0.663256E-04    0.126831E-03    0.181548E-03    0.227660E-03    0.263160E-03    0.286165E-03    0.296092E-03    0.292549E-03    0.276206E-03    0.495884E-03    0.341505E-03   -0.107785E-03   -0.361675E-03   -0.253716E-03    0.226243E-03    0.920232E-03    0.156105E-02    0.187290E-02    0.168062E-02    0.986438E-03   -0.140512E-04   -0.990443E-03   -0.158667E-02   -0.155638E-02   -0.187868E-02    0.831737E-02   -0.759514E-04   -0.542579E-02    0.714276E-02    0.153316E-02   -0.663520E-02    0.542030E-02    0.374796E-02   -0.113349E-01   -0.129907E-01   -0.491662E-02   -0.201641E-02    0.344985E-03    0.185121E-02
   100    0.330178E-05    0.700394E-04    0.133828E-03    0.191628E-03    0.240571E-03    0.277831E-03    0.302443E-03    0.313235E-03    0.310273E-03    0.293746E-03    0.529896E-03    0.378935E-03   -0.864042E-04   -0.346195E-03   -0.223986E-03    0.290612E-03    0.103109E-02    0.171165E-02    0.203898E-02    0.182582E-02    0.107553E-02    0.552654E-06   -0.104384E-02   -0.167656E-02   -0.163679E-02   -0.193331E-02    0.908883E-02    0.849269E-04   -0.573621E-02    0.771756E-02    0.177840E-02   -0.706734E-02    0.583798E-02    0.423075E-02   -0.119655E-01   -0.137859E-01   -0.494702E-02   -0.205041E-02    0.447629E-03    0.206636E-02
   120    0.357187E-05    0.762590E-04    0.145651E-03    0.208173E-03    0.260465E-03    0.300433E-03    0.326362E-03    0.337824E-03    0.334682E-03    0.317537E-03    0.575339E-03    0.433240E-03   -0.513878E-04   -0.323456E-03   -0.186251E-03    0.378846E-03    0.118928E-02    0.193097E-02    0.228309E-02    0.204181E-02    0.121211E-02    0.309121E-04   -0.111018E-02   -0.179625E-02   -0.174455E-02   -0.199528E-02    0.102326E-01    0.340419E-03   -0.614464E-02    0.859339E-02    0.213931E-02   -0.765992E-02    0.648836E-02    0.491562E-02   -0.128642E-01   -0.149695E-01   -0.503910E-02   -0.215394E-02    0.581003E-03    0.237881E-02
   140    0.400881E-05    0.853943E-04    0.162451E-03    0.232067E-03    0.289922E-03    0.333436E-03    0.361417E-03    0.373654E-03    0.370152E-03    0.351866E-03    0.640815E-03    0.511236E-03   -0.736676E-06   -0.290808E-03   -0.133554E-03    0.502233E-03    0.141074E-02    0.223962E-02    0.262980E-02    0.235299E-02    0.141744E-02    0.925408E-04   -0.118074E-02   -0.194094E-02   -0.187489E-02   -0.204373E-02    0.118687E-01    0.770314E-03   -0.662943E-02    0.985372E-02    0.268288E-02   -0.841532E-02    0.745249E-02    0.589780E-02   -0.140073E-01   -0.166092E-01   -0.516857E-02   -0.233945E-02    0.762849E-03    0.281678E-02
   160    0.453353E-05    0.977936E-04    0.186188E-03    0.265419E-03    0.330999E-03    0.380217E-03    0.411794E-03    0.425640E-03    0.422173E-03    0.402655E-03    0.737794E-03    0.623112E-03    0.702071E-04   -0.243060E-03   -0.542550E-04    0.677654E-03    0.172061E-02    0.266951E-02    0.311544E-02    0.279664E-02    0.172492E-02    0.212610E-03   -0.123604E-02   -0.209721E-02   -0.201266E-02   -0.203168E-02    0.141838E-01    0.151256E-02   -0.713394E-02    0.116254E-01    0.350217E-02   -0.931685E-02    0.881869E-02    0.730463E-02   -0.153126E-01   -0.186930E-01   -0.522018E-02   -0.261887E-02    0.102519E-02    0.342861E-02
   180    0.533263E-05    0.114125E-03    0.217242E-03    0.309690E-03    0.386645E-03    0.444649E-03    0.482478E-03    0.500026E-03    0.497770E-03    0.476967E-03    0.880247E-03    0.784412E-03    0.172113E-03   -0.166045E-03    0.714797E-04    0.934430E-03    0.215596E-02    0.326805E-02    0.379288E-02    0.342771E-02    0.218732E-02    0.435165E-03   -0.124109E-02   -0.223370E-02   -0.212578E-02   -0.187235E-02    0.174576E-01    0.279619E-02   -0.754714E-02    0.140979E-01    0.477627E-02   -0.102991E-01    0.107570E-01    0.936456E-02   -0.166400E-01   -0.212683E-01   -0.500038E-02   -0.301275E-02    0.139133E-02    0.425810E-02
