     0               2              12              22              32              42              52              62              72              82              92             102             132             162             192             222             252             282             312             342             372             402             432             462             492             522             552             652             752             852             952            1052            1152            1252            1352            1452            1752            2052            2352            2652            2952
    20    0.180441E-05    0.380809E-04    0.734515E-04    0.106782E-03    0.137387E-03    0.163750E-03    0.185492E-03    0.202805E-03    0.215176E-03    0.221593E-03    0.446638E-03    0.602772E-03    0.442538E-03    0.247141E-03    0.737790E-04   -0.196913E-04   -0.247041E-06    0.123372E-03    0.307103E-03    0.494106E-03    0.637364E-03    0.705576E-03    0.683876E-03    0.582204E-03    0.435764E-03    0.661152E-03    0.145313E-02    0.297638E-02    0.220423E-02    0.179044E-02    0.282509E-02    0.244344E-02    0.181309E-02    0.286505E-02    0.633664E-02    0.766290E-02    0.671159E-02    0.159838E-02   -0.451202E-03    0.564758E-03
    40    0.169244E-05    0.359689E-04    0.693951E-04    0.101116E-03    0.129964E-03    0.155039E-03    0.176145E-03    0.192489E-03    0.203950E-03    0.210224E-03    0.423823E-03    0.570919E-03    0.420637E-03    0.238195E-03    0.775691E-04   -0.950506E-05    0.728954E-05    0.121474E-03    0.294676E-03    0.473296E-03    0.611426E-03    0.677492E-03    0.658169E-03    0.561239E-03    0.423301E-03    0.645808E-03    0.138603E-02    0.287592E-02    0.213631E-02    0.164395E-02    0.271249E-02    0.235447E-02    0.164914E-02    0.276999E-02    0.607326E-02    0.732084E-02    0.649042E-02    0.168858E-02   -0.205165E-03    0.701681E-03
    60    0.162376E-05    0.346411E-04    0.668672E-04    0.974456E-04    0.125353E-03    0.149558E-03    0.169924E-03    0.185722E-03    0.196852E-03    0.203030E-03    0.409059E-03    0.551599E-03    0.410039E-03    0.239748E-03    0.909887E-04    0.937013E-05    0.245488E-04    0.132599E-03    0.298441E-03    0.471196E-03    0.605531E-03    0.669704E-03    0.651248E-03    0.559534E-03    0.428183E-03    0.667845E-03    0.139918E-02    0.287336E-02    0.214990E-02    0.158896E-02    0.268602E-02    0.233595E-02    0.156811E-02    0.276779E-02    0.601508E-02    0.716665E-02    0.646540E-02    0.182066E-02    0.133794E-03    0.889911E-03
    80    0.154379E-05    0.331352E-04    0.640332E-04    0.933044E-04    0.119969E-03    0.143383E-03    0.162966E-03    0.178252E-03    0.188944E-03    0.195102E-03    0.393530E-03    0.534913E-03    0.405606E-03    0.249988E-03    0.114075E-03    0.394432E-04    0.539757E-04    0.155865E-03    0.313360E-03    0.478420E-03    0.606951E-03    0.668686E-03    0.652162E-03    0.566618E-03    0.443324E-03    0.713496E-03    0.146877E-02    0.290814E-02    0.219790E-02    0.158634E-02    0.269337E-02    0.233702E-02    0.152964E-02    0.279921E-02    0.600619E-02    0.704627E-02    0.655786E-02    0.197509E-02    0.544046E-03    0.111920E-02
   100    0.146380E-05    0.313255E-04    0.604575E-04    0.881029E-04    0.113448E-03    0.135460E-03    0.154072E-03    0.168645E-03    0.179142E-03    0.185389E-03    0.375298E-03    0.519058E-03    0.408040E-03    0.271674E-03    0.150965E-03    0.840924E-04    0.982930E-04    0.193094E-03    0.339887E-03    0.494102E-03    0.614204E-03    0.672600E-03    0.659545E-03    0.582753E-03    0.469674E-03    0.787695E-03    0.159529E-02    0.297676E-02    0.227795E-02    0.163301E-02    0.272067E-02    0.234992E-02    0.153154E-02    0.285042E-02    0.602155E-02    0.692069E-02    0.667972E-02    0.213507E-02    0.998017E-03    0.137654E-02
   120    0.134440E-05    0.289672E-04    0.559696E-04    0.815504E-04    0.104937E-03    0.125399E-03    0.142741E-03    0.156610E-03    0.166891E-03    0.173516E-03    0.353366E-03    0.504170E-03    0.418805E-03    0.307080E-03    0.204695E-03    0.147543E-03    0.161667E-03    0.247802E-03    0.380835E-03    0.520106E-03    0.628837E-03    0.683519E-03    0.675685E-03    0.610129E-03    0.509792E-03    0.898713E-03    0.179237E-02    0.308965E-02    0.239572E-02    0.173763E-02    0.278049E-02    0.237957E-02    0.157701E-02    0.292343E-02    0.604342E-02    0.679452E-02    0.686352E-02    0.236089E-02    0.152889E-02    0.167295E-02
   140    0.121211E-05    0.259519E-04    0.500596E-04    0.729783E-04    0.939669E-04    0.112521E-03    0.128384E-03    0.141428E-03    0.151504E-03    0.158730E-03    0.326487E-03    0.487855E-03    0.436212E-03    0.356828E-03    0.278637E-03    0.234475E-03    0.249231E-03    0.325255E-03    0.440604E-03    0.560208E-03    0.653803E-03    0.703599E-03    0.702300E-03    0.651215E-03    0.567960E-03    0.105933E-02    0.208404E-02    0.326299E-02    0.256718E-02    0.192293E-02    0.288958E-02    0.243383E-02    0.168925E-02    0.303795E-02    0.606183E-02    0.662980E-02    0.708561E-02    0.267912E-02    0.215019E-02    0.200972E-02
   160    0.102605E-05    0.220780E-04    0.426048E-04    0.622700E-04    0.804554E-04    0.965811E-04    0.110740E-03    0.122853E-03    0.132884E-03    0.140970E-03    0.294537E-03    0.469452E-03    0.460137E-03    0.422943E-03    0.377516E-03    0.351907E-03    0.369397E-03    0.433417E-03    0.526786E-03    0.621268E-03    0.695453E-03    0.738700E-03    0.744813E-03    0.711700E-03    0.651806E-03    0.129169E-02    0.251082E-02    0.353274E-02    0.282648E-02    0.223049E-02    0.308423E-02    0.254820E-02    0.191422E-02    0.323635E-02    0.610708E-02    0.648098E-02    0.731249E-02    0.314967E-02    0.281903E-02    0.239636E-02
   180    0.788581E-06    0.173011E-04    0.334640E-04    0.490865E-04    0.637262E-04    0.771631E-04    0.894403E-04    0.100569E-03    0.110674E-03    0.119811E-03    0.256358E-03    0.447218E-03    0.489001E-03    0.505639E-03    0.504727E-03    0.505892E-03    0.529993E-03    0.581597E-03    0.648739E-03    0.712896E-03    0.763131E-03    0.796677E-03    0.809873E-03    0.798652E-03    0.770134E-03    0.161933E-02    0.312726E-02    0.393991E-02    0.320924E-02    0.271201E-02    0.341659E-02    0.276502E-02    0.230766E-02    0.359405E-02    0.625656E-02    0.646658E-02    0.745969E-02    0.377926E-02    0.334374E-02    0.280962E-02
   200    0.536789E-06    0.116434E-04    0.226594E-04    0.335871E-04    0.441994E-04    0.545921E-04    0.647649E-04    0.748973E-04    0.850869E-04    0.955103E-04    0.212544E-03    0.421390E-03    0.523353E-03    0.607301E-03    0.665279E-03    0.705569E-03    0.743175E-03    0.783796E-03    0.821976E-03    0.850499E-03    0.870752E-03    0.889193E-03    0.907688E-03    0.923073E-03    0.936764E-03    0.208041E-02    0.401914E-02    0.454071E-02    0.377413E-02    0.345866E-02    0.395518E-02    0.314901E-02    0.296874E-02    0.420428E-02    0.661777E-02    0.678979E-02    0.761699E-02    0.458025E-02    0.359721E-02    0.325225E-02
