     0               2              12              22              32              42              52              62              72              82              92             102             132             162             192             222             252             282             312             342             372             402             432             462             492             522             552             652             752             852             952            1052            1152            1252            1352            1452            1552            1652            1752            1852            1952            2052            2152            2252            2352            2452            2752            3052            3352            3652            3952            4252            4552            4852
    20    0.175127E-05    0.442591E-04    0.108661E-03    0.219391E-03    0.386088E-03    0.624373E-03    0.942445E-03    0.135041E-02    0.185587E-02    0.244090E-02    0.621595E-02    0.164552E-01    0.238855E-01    0.298270E-01    0.326012E-01    0.318918E-01    0.283212E-01    0.235833E-01    0.198291E-01    0.185680E-01    0.203003E-01    0.244501E-01    0.294372E-01    0.333890E-01    0.348632E-01    0.723624E-01    0.714302E-01    0.795682E-01    0.673321E-01    0.342092E-01    0.423196E-01    0.260722E-01    0.425253E-02    0.997839E-02   -0.616337E-02   -0.147175E-01   -0.671188E-02   -0.184777E-01   -0.175120E-01   -0.886328E-02   -0.183733E-01   -0.132355E-01   -0.350893E-02   -0.100044E-01   -0.940961E-02    0.781982E-02    0.216244E-01    0.249483E-01    0.209136E-01    0.139798E-01    0.780870E-02    0.376812E-02    0.162502E-02
    40    0.199690E-05    0.501784E-04    0.120424E-03    0.231763E-03    0.397657E-03    0.633384E-03    0.945567E-03    0.134578E-02    0.183595E-02    0.240605E-02    0.611733E-02    0.160207E-01    0.232126E-01    0.288745E-01    0.315759E-01    0.308984E-01    0.275325E-01    0.231355E-01    0.196008E-01    0.184946E-01    0.202745E-01    0.242723E-01    0.290286E-01    0.326833E-01    0.339780E-01    0.704626E-01    0.708597E-01    0.794163E-01    0.659784E-01    0.338556E-01    0.425442E-01    0.260485E-01    0.454938E-02    0.103624E-01   -0.553174E-02   -0.142673E-01   -0.631884E-02   -0.175697E-01   -0.169968E-01   -0.862194E-02   -0.177233E-01   -0.127975E-01   -0.342821E-02   -0.953145E-02   -0.910229E-02    0.814239E-02    0.214000E-01    0.248856E-01    0.207947E-01    0.138883E-01    0.775258E-02    0.373679E-02    0.161039E-02
    60    0.260334E-05    0.642987E-04    0.147734E-03    0.271254E-03    0.448017E-03    0.693536E-03    0.101639E-02    0.142456E-02    0.191880E-02    0.249327E-02    0.628506E-02    0.162518E-01    0.233492E-01    0.289381E-01    0.316613E-01    0.311207E-01    0.279977E-01    0.238922E-01    0.206518E-01    0.196215E-01    0.213980E-01    0.252593E-01    0.297473E-01    0.332724E-01    0.345044E-01    0.718627E-01    0.747770E-01    0.813821E-01    0.676518E-01    0.366358E-01    0.439458E-01    0.273362E-01    0.593877E-02    0.107138E-01   -0.510578E-02   -0.139290E-01   -0.648548E-02   -0.174858E-01   -0.170168E-01   -0.899411E-02   -0.177566E-01   -0.128519E-01   -0.361055E-02   -0.945529E-02   -0.890466E-02    0.899316E-02    0.227207E-01    0.261055E-01    0.217735E-01    0.145130E-01    0.808907E-02    0.389632E-02    0.167977E-02
    80    0.356532E-05    0.860545E-04    0.190044E-03    0.333354E-03    0.529518E-03    0.792749E-03    0.113074E-02    0.155297E-02    0.205917E-02    0.264219E-02    0.659716E-02    0.167366E-01    0.237937E-01    0.293815E-01    0.321969E-01    0.318995E-01    0.291385E-01    0.253873E-01    0.224070E-01    0.214940E-01    0.231802E-01    0.267978E-01    0.310674E-01    0.344103E-01    0.356811E-01    0.748746E-01    0.815184E-01    0.849105E-01    0.713918E-01    0.412508E-01    0.457657E-01    0.294679E-01    0.840858E-02    0.111362E-01   -0.466101E-02   -0.133516E-01   -0.701305E-02   -0.177370E-01   -0.171379E-01   -0.959607E-02   -0.181428E-01   -0.131179E-01   -0.393674E-02   -0.950617E-02   -0.864163E-02    0.103399E-01    0.246983E-01    0.281674E-01    0.233990E-01    0.155693E-01    0.866595E-02    0.417168E-02    0.179736E-02
   100    0.484012E-05    0.115622E-03    0.247615E-03    0.417305E-03    0.640272E-03    0.927063E-03    0.128616E-02    0.172761E-02    0.224978E-02    0.284846E-02    0.702425E-02    0.174139E-01    0.244528E-01    0.300686E-01    0.330535E-01    0.330832E-01    0.307487E-01    0.274602E-01    0.248520E-01    0.240391E-01    0.255896E-01    0.289592E-01    0.329370E-01    0.361446E-01    0.375234E-01    0.794625E-01    0.908796E-01    0.900459E-01    0.767990E-01    0.477940E-01    0.482168E-01    0.323381E-01    0.117216E-01    0.113984E-01   -0.422995E-02   -0.124856E-01   -0.777011E-02   -0.182970E-01   -0.173295E-01   -0.105039E-01   -0.187950E-01   -0.134960E-01   -0.445176E-02   -0.965081E-02   -0.855999E-02    0.121438E-01    0.275004E-01    0.310518E-01    0.256863E-01    0.170477E-01    0.947418E-02    0.455707E-02    0.196300E-02
   120    0.661155E-05    0.156003E-03    0.326242E-03    0.533157E-03    0.789919E-03    0.111087E-02    0.149969E-02    0.196664E-02    0.251174E-02    0.312626E-02    0.760849E-02    0.183405E-01    0.254113E-01    0.311237E-01    0.343708E-01    0.348359E-01    0.330338E-01    0.302664E-01    0.280175E-01    0.273642E-01    0.287915E-01    0.318623E-01    0.355672E-01    0.386317E-01    0.401118E-01    0.858029E-01    0.102967E+00    0.970721E-01    0.842533E-01    0.564794E-01    0.517723E-01    0.361002E-01    0.161444E-01    0.119922E-01   -0.370839E-02   -0.114839E-01   -0.879148E-02   -0.190973E-01   -0.176897E-01   -0.117001E-01   -0.196439E-01   -0.140168E-01   -0.508686E-02   -0.980200E-02   -0.828919E-02    0.146345E-01    0.312561E-01    0.348742E-01    0.287281E-01    0.190218E-01    0.105512E-01    0.506957E-02    0.218223E-02
   140    0.887186E-05    0.207833E-03    0.427069E-03    0.681080E-03    0.982815E-03    0.134351E-02    0.177001E-02    0.226957E-02    0.284083E-02    0.347757E-02    0.833888E-02    0.195162E-01    0.266336E-01    0.324914E-01    0.360957E-01    0.370931E-01    0.359571E-01    0.337779E-01    0.319712E-01    0.314507E-01    0.327967E-01    0.355931E-01    0.389866E-01    0.419497E-01    0.435654E-01    0.940992E-01    0.118017E+00    0.106643E+00    0.938938E-01    0.670238E-01    0.565326E-01    0.407045E-01    0.213123E-01    0.129208E-01   -0.295972E-02   -0.103231E-01   -0.994447E-02   -0.200876E-01   -0.182281E-01   -0.131428E-01   -0.206591E-01   -0.147108E-01   -0.590944E-02   -0.998665E-02   -0.801764E-02    0.178415E-01    0.361063E-01    0.397732E-01    0.326290E-01    0.215416E-01    0.119288E-01    0.572572E-02    0.246304E-02
   160    0.116898E-04    0.272479E-03    0.552224E-03    0.865580E-03    0.122089E-02    0.163193E-02    0.210274E-02    0.264076E-02    0.324341E-02    0.390681E-02    0.924293E-02    0.209439E-01    0.281549E-01    0.342292E-01    0.382419E-01    0.398651E-01    0.394819E-01    0.379948E-01    0.366590E-01    0.363592E-01    0.376471E-01    0.402060E-01    0.433581E-01    0.461937E-01    0.479081E-01    0.104313E+00    0.136159E+00    0.119144E+00    0.105735E+00    0.798267E-01    0.632299E-01    0.465750E-01    0.275033E-01    0.145005E-01   -0.197401E-02   -0.903109E-02   -0.111680E-01   -0.212376E-01   -0.189467E-01   -0.148286E-01   -0.218285E-01   -0.155353E-01   -0.685466E-02   -0.101370E-01   -0.763319E-02    0.218920E-01    0.421443E-01    0.459118E-01    0.374790E-01    0.246840E-01    0.136486E-01    0.654431E-02    0.281406E-02
   180    0.151745E-04    0.352286E-03    0.707348E-03    0.109159E-02    0.151564E-02    0.198678E-02    0.251207E-02    0.309635E-02    0.373968E-02    0.443420E-02    0.103457E-01    0.227297E-01    0.300554E-01    0.363960E-01    0.408986E-01    0.432438E-01    0.436851E-01    0.429899E-01    0.422510E-01    0.422610E-01    0.435375E-01    0.459135E-01    0.488325E-01    0.515751E-01    0.533925E-01    0.116728E+00    0.157806E+00    0.135345E+00    0.120767E+00    0.948871E-01    0.719484E-01    0.538931E-01    0.346750E-01    0.170007E-01   -0.460471E-03   -0.760948E-02   -0.123157E-01   -0.223900E-01   -0.199215E-01   -0.167247E-01   -0.230650E-01   -0.165332E-01   -0.795748E-02   -0.101932E-01   -0.699504E-02    0.269978E-01    0.496483E-01    0.534707E-01    0.434502E-01    0.285388E-01    0.157552E-01    0.754888E-02    0.324490E-02
