     0               2              12              22              32              42              52              62              72              82              92             102             132             162             192             222             252             282             312             342             372             402             432             462             492             522             552             652             752             852             952            1052            1152            1252            1352            1452            1552            1652            1752            1852            1952            2052            2152            2252            2352            2452            2752            3052            3352            3652            3952            4252            4552            4852
    20    0.303414E-05    0.636652E-04    0.120950E-03    0.170939E-03    0.212111E-03    0.241406E-03    0.258294E-03    0.263881E-03    0.257848E-03    0.240572E-03    0.428585E-03    0.286546E-03   -0.120812E-03   -0.372500E-03   -0.291996E-03    0.156497E-03    0.821807E-03    0.144722E-02    0.177270E-02    0.162795E-02    0.100113E-02    0.733614E-04   -0.849132E-03   -0.143129E-02   -0.142757E-02   -0.171065E-02    0.829850E-02    0.250590E-03   -0.516275E-02    0.808348E-02    0.267454E-02   -0.659025E-02    0.666366E-02    0.522138E-02   -0.653888E-02    0.377369E-02    0.594013E-02   -0.535705E-02    0.131269E-02    0.581142E-02   -0.321452E-02   -0.663531E-03    0.401973E-02   -0.148947E-02   -0.266789E-02   -0.460122E-02   -0.524888E-02   -0.582560E-02   -0.592501E-02   -0.424196E-02   -0.204366E-02   -0.817502E-05    0.103668E-02
    40    0.286298E-05    0.606986E-04    0.115700E-03    0.164440E-03    0.204674E-03    0.234275E-03    0.252490E-03    0.258854E-03    0.253729E-03    0.237681E-03    0.424080E-03    0.283033E-03   -0.116121E-03   -0.353423E-03   -0.265858E-03    0.172869E-03    0.818671E-03    0.142472E-02    0.173887E-02    0.159353E-02    0.981185E-03    0.753729E-04   -0.823474E-03   -0.138706E-02   -0.137878E-02   -0.162709E-02    0.815029E-02    0.293694E-03   -0.497909E-02    0.793955E-02    0.266123E-02   -0.637597E-02    0.655259E-02    0.515857E-02   -0.632819E-02    0.370756E-02    0.584115E-02   -0.518886E-02    0.129625E-02    0.570513E-02   -0.309744E-02   -0.642896E-03    0.393722E-02   -0.143114E-02   -0.259234E-02   -0.448010E-02   -0.510848E-02   -0.566310E-02   -0.574326E-02   -0.408538E-02   -0.193722E-02    0.484203E-04    0.105959E-02
    60    0.283287E-05    0.603498E-04    0.115346E-03    0.164638E-03    0.205836E-03    0.236845E-03    0.256730E-03    0.264572E-03    0.260590E-03    0.245037E-03    0.438434E-03    0.294659E-03   -0.110399E-03   -0.341450E-03   -0.240609E-03    0.208430E-03    0.862426E-03    0.147527E-02    0.178897E-02    0.163552E-02    0.100851E-02    0.835946E-04   -0.830970E-03   -0.139972E-02   -0.138242E-02   -0.159538E-02    0.841849E-02    0.379988E-03   -0.498265E-02    0.819811E-02    0.281092E-02   -0.641398E-02    0.677588E-02    0.538248E-02   -0.637444E-02    0.383714E-02    0.605035E-02   -0.522659E-02    0.135456E-02    0.589796E-02   -0.309838E-02   -0.651209E-03    0.404630E-02   -0.142114E-02   -0.264478E-02   -0.457265E-02   -0.520690E-02   -0.575216E-02   -0.581294E-02   -0.408493E-02   -0.187680E-02    0.150141E-03    0.116734E-02
    80    0.290459E-05    0.616403E-04    0.117889E-03    0.168772E-03    0.211662E-03    0.244691E-03    0.266102E-03    0.275343E-03    0.272056E-03    0.256836E-03    0.461113E-03    0.317842E-03   -0.973716E-04   -0.325783E-03   -0.209974E-03    0.261836E-03    0.941724E-03    0.157624E-02    0.189706E-02    0.172961E-02    0.106937E-02    0.101936E-03   -0.850582E-03   -0.143669E-02   -0.140820E-02   -0.156973E-02    0.896808E-02    0.531280E-03   -0.506292E-02    0.873649E-02    0.309996E-02   -0.656251E-02    0.724431E-02    0.582396E-02   -0.653275E-02    0.410575E-02    0.647124E-02   -0.535986E-02    0.147362E-02    0.628973E-02   -0.314331E-02   -0.668704E-03    0.427957E-02   -0.142686E-02   -0.275452E-02   -0.477594E-02   -0.543665E-02   -0.597592E-02   -0.601119E-02   -0.414638E-02   -0.180906E-02    0.312975E-03    0.135334E-02
   100    0.305555E-05    0.648238E-04    0.123875E-03    0.177399E-03    0.222731E-03    0.257251E-03    0.280079E-03    0.290106E-03    0.287403E-03    0.272136E-03    0.491079E-03    0.352909E-03   -0.735441E-04   -0.303844E-03   -0.171815E-03    0.334566E-03    0.105941E-02    0.173159E-02    0.206729E-02    0.188091E-02    0.116982E-02    0.135606E-03   -0.876522E-03   -0.149219E-02   -0.145001E-02   -0.153792E-02    0.983538E-02    0.783794E-03   -0.518900E-02    0.958330E-02    0.355866E-02   -0.679831E-02    0.798848E-02    0.651717E-02   -0.677465E-02    0.453375E-02    0.713163E-02   -0.556582E-02    0.167168E-02    0.690086E-02   -0.321578E-02   -0.686934E-03    0.464211E-02   -0.143933E-02   -0.292327E-02   -0.508843E-02   -0.579481E-02   -0.632197E-02   -0.631333E-02   -0.423904E-02   -0.170286E-02    0.562758E-03    0.164178E-02
   120    0.328655E-05    0.701854E-04    0.134065E-03    0.191649E-03    0.239847E-03    0.276714E-03    0.300692E-03    0.311356E-03    0.308597E-03    0.292959E-03    0.531288E-03    0.404107E-03   -0.353777E-04   -0.272210E-03   -0.122146E-03    0.433861E-03    0.122534E-02    0.195545E-02    0.231560E-02    0.210543E-02    0.132436E-02    0.196499E-03   -0.899922E-03   -0.155949E-02   -0.150093E-02   -0.147784E-02    0.111072E-01    0.119719E-02   -0.532728E-02    0.108284E-01    0.426269E-02   -0.708374E-02    0.908750E-02    0.755042E-02   -0.707281E-02    0.517915E-02    0.809925E-02   -0.582676E-02    0.197620E-02    0.779367E-02   -0.329313E-02   -0.700949E-03    0.516567E-02   -0.144375E-02   -0.314909E-02   -0.552047E-02   -0.629877E-02   -0.680472E-02   -0.672847E-02   -0.435012E-02   -0.152710E-02    0.941803E-03    0.207311E-02
   140    0.366180E-05    0.779976E-04    0.148415E-03    0.212072E-03    0.265043E-03    0.304968E-03    0.330761E-03    0.342201E-03    0.339298E-03    0.322930E-03    0.589143E-03    0.477616E-03    0.198473E-04   -0.226522E-03   -0.525535E-04    0.571908E-03    0.145576E-02    0.226795E-02    0.266594E-02    0.242790E-02    0.155636E-02    0.304545E-03   -0.905168E-03   -0.162533E-02   -0.154694E-02   -0.134986E-02    0.129186E-01    0.187842E-02   -0.541316E-02    0.126063E-01    0.533803E-02   -0.735603E-02    0.106834E-01    0.907508E-02   -0.737024E-02    0.612967E-02    0.949518E-02   -0.609513E-02    0.244995E-02    0.906591E-02   -0.333619E-02   -0.691385E-03    0.589420E-02   -0.141820E-02   -0.342938E-02   -0.609936E-02   -0.697271E-02   -0.743648E-02   -0.724391E-02   -0.443907E-02   -0.121759E-02    0.152449E-02    0.272038E-02
   160    0.409916E-05    0.884160E-04    0.168378E-03    0.240134E-03    0.299653E-03    0.344477E-03    0.373449E-03    0.386465E-03    0.383892E-03    0.366883E-03    0.674140E-03    0.582598E-03    0.977817E-04   -0.159429E-03    0.511530E-04    0.767697E-03    0.177638E-02    0.270032E-02    0.315379E-02    0.288573E-02    0.190207E-02    0.493493E-03   -0.862298E-03   -0.166265E-02   -0.155800E-02   -0.107583E-02    0.154763E-01    0.300730E-02   -0.530456E-02    0.151252E-01    0.697425E-02   -0.747661E-02    0.129785E-01    0.113064E-01   -0.753553E-02    0.752325E-02    0.114713E-01   -0.628504E-02    0.319041E-02    0.108495E-01   -0.327272E-02   -0.619695E-03    0.688441E-02   -0.132729E-02   -0.372877E-02   -0.681372E-02   -0.782585E-02   -0.820680E-02   -0.783923E-02   -0.443009E-02   -0.672562E-03    0.241810E-02    0.368607E-02
   180    0.475551E-05    0.101793E-03    0.193843E-03    0.276498E-03    0.345486E-03    0.397753E-03    0.432199E-03    0.448693E-03    0.447669E-03    0.430242E-03    0.797296E-03    0.732991E-03    0.210725E-03   -0.532210E-04    0.212665E-03    0.105317E-02    0.222497E-02    0.329831E-02    0.382931E-02    0.353287E-02    0.241735E-02    0.816750E-03   -0.720072E-03   -0.161852E-02   -0.147822E-02   -0.519861E-03    0.190841E-01    0.487329E-02   -0.475655E-02    0.186978E-01    0.949061E-02   -0.718257E-02    0.163080E-01    0.145930E-01   -0.733266E-02    0.959002E-02    0.142882E-01   -0.621419E-02    0.436269E-02    0.133554E-01   -0.295812E-02   -0.413833E-03    0.822535E-02   -0.109421E-02   -0.398265E-02   -0.762771E-02   -0.885447E-02   -0.908040E-02   -0.843265E-02   -0.419524E-02    0.277822E-03    0.380402E-02    0.513992E-02
