     0               2              12              22              32              42              52              62              72              82              92             102             132             162             192             222             252             282             312             342             372             402             432             462             492             522             552             652             752             852             952            1052            1152            1252            1352            1452            1552            1652            1752            1852            1952            2052            2152            2252            2352            2452            2752            3052            3352            3652            3952            4252            4552            4852
    20   -0.150636E-08    0.114977E-07   -0.154366E-06    0.133220E-06    0.168947E-06    0.290219E-06    0.496028E-06    0.852224E-06    0.108465E-05    0.150627E-05    0.392385E-05    0.914258E-05    0.107762E-04    0.941455E-05    0.437743E-05   -0.240109E-05   -0.865356E-05   -0.116968E-04   -0.982635E-05   -0.250736E-05    0.847183E-05    0.193076E-04    0.255665E-04    0.247973E-04    0.166347E-04    0.930172E-05   -0.360218E-04    0.144309E-03    0.852568E-04   -0.536917E-05    0.175362E-03    0.114432E-03    0.408409E-05    0.205837E-03    0.169179E-03    0.379308E-04    0.203864E-03    0.156562E-03    0.282041E-05    0.149302E-03    0.134412E-03   -0.801822E-05    0.101569E-03    0.869620E-04   -0.981565E-04   -0.173827E-03   -0.208793E-03   -0.222030E-03   -0.201852E-03   -0.161977E-03   -0.110602E-03   -0.666204E-04   -0.345430E-04
    40   -0.188406E-08   -0.359415E-08   -0.237071E-06    0.617150E-07    0.143696E-06    0.300255E-06    0.538827E-06    0.874197E-06    0.126323E-05    0.163560E-05    0.418607E-05    0.105477E-04    0.127367E-04    0.116762E-04    0.718650E-05    0.623477E-06   -0.585997E-05   -0.949796E-05   -0.834336E-05   -0.161939E-05    0.906009E-05    0.199757E-04    0.266067E-04    0.264320E-04    0.190713E-04    0.158342E-04   -0.285275E-04    0.144940E-03    0.912217E-04    0.519283E-07    0.174012E-03    0.118967E-03    0.919047E-05    0.201887E-03    0.170065E-03    0.415424E-04    0.199093E-03    0.157010E-03    0.618508E-05    0.144923E-03    0.133286E-03   -0.503461E-05    0.990188E-04    0.857160E-04   -0.920496E-04   -0.166536E-03   -0.202768E-03   -0.215760E-03   -0.197548E-03   -0.158804E-03   -0.108423E-03   -0.654411E-04   -0.339336E-04
    60   -0.284794E-08   -0.233316E-07   -0.372908E-06    0.220270E-07    0.137157E-06    0.319113E-06    0.565463E-06    0.982305E-06    0.141643E-05    0.190987E-05    0.502250E-05    0.126276E-04    0.159223E-04    0.159343E-04    0.118220E-04    0.506517E-05   -0.203450E-05   -0.675561E-05   -0.642402E-05   -0.142132E-06    0.105290E-04    0.219161E-04    0.295207E-04    0.303997E-04    0.238804E-04    0.268573E-04   -0.204006E-04    0.152831E-03    0.106879E-03    0.971676E-05    0.180312E-03    0.133110E-03    0.174963E-04    0.205940E-03    0.181932E-03    0.511535E-04    0.203107E-03    0.166118E-03    0.131257E-04    0.146241E-03    0.138755E-03    0.543193E-06    0.100593E-03    0.883019E-04   -0.868978E-04   -0.164577E-03   -0.204328E-03   -0.219958E-03   -0.202150E-03   -0.163330E-03   -0.111785E-03   -0.675914E-04   -0.350749E-04
    80   -0.483997E-08   -0.551400E-07   -0.514189E-06   -0.555875E-07    0.551544E-07    0.255453E-06    0.585800E-06    0.102427E-05    0.157664E-05    0.215731E-05    0.570462E-05    0.152252E-04    0.201536E-04    0.213828E-04    0.180139E-04    0.109481E-04    0.285671E-05   -0.308615E-05   -0.400394E-05    0.156533E-05    0.122995E-04    0.245144E-04    0.335011E-04    0.358058E-04    0.302892E-04    0.409820E-04   -0.107849E-04    0.164272E-03    0.129713E-03    0.233944E-04    0.191178E-03    0.154396E-03    0.297087E-04    0.214038E-03    0.201408E-03    0.666597E-04    0.211711E-03    0.181042E-03    0.240434E-04    0.149979E-03    0.147748E-03    0.924245E-05    0.104316E-03    0.925577E-04   -0.809493E-04   -0.164806E-03   -0.211658E-03   -0.230392E-03   -0.212889E-03   -0.172857E-03   -0.118640E-03   -0.719016E-04   -0.373738E-04
   100   -0.765518E-08   -0.115452E-06   -0.671299E-06   -0.193355E-06   -0.936829E-07    0.112417E-06    0.483507E-06    0.100451E-05    0.164237E-05    0.240220E-05    0.653729E-05    0.182698E-04    0.252828E-04    0.280357E-04    0.253140E-04    0.180639E-04    0.869101E-05    0.996366E-06   -0.139602E-05    0.332118E-05    0.141666E-04    0.273919E-04    0.381690E-04    0.423043E-04    0.380294E-04    0.579699E-04   -0.101748E-05    0.177056E-03    0.158748E-03    0.411126E-04    0.205338E-03    0.182768E-03    0.460296E-04    0.225013E-03    0.228208E-03    0.889164E-04    0.224337E-03    0.201689E-03    0.396294E-04    0.155707E-03    0.159817E-03    0.218445E-04    0.110077E-03    0.981284E-04   -0.726652E-04   -0.166730E-03   -0.223568E-03   -0.246812E-03   -0.229484E-03   -0.187484E-03   -0.129174E-03   -0.785429E-04   -0.408539E-04
   120   -0.122114E-07   -0.207802E-06   -0.861006E-06   -0.433546E-06   -0.374590E-06   -0.153916E-06    0.232365E-06    0.837762E-06    0.158243E-05    0.248345E-05    0.710648E-05    0.213115E-04    0.307974E-04    0.356703E-04    0.339514E-04    0.262216E-04    0.154052E-04    0.551439E-05    0.120298E-05    0.484027E-05    0.157922E-04    0.303362E-04    0.432333E-04    0.495743E-04    0.466322E-04    0.768834E-04    0.755530E-05    0.190637E-03    0.193942E-03    0.626555E-04    0.223192E-03    0.218219E-03    0.669856E-04    0.239061E-03    0.262626E-03    0.118400E-03    0.241906E-03    0.228736E-03    0.606171E-04    0.163893E-03    0.175719E-03    0.383973E-04    0.117983E-03    0.105579E-03   -0.628282E-04   -0.171519E-03   -0.241379E-03   -0.271033E-03   -0.253344E-03   -0.208402E-03   -0.144165E-03   -0.879186E-04   -0.457947E-04
   140   -0.185815E-07   -0.346429E-06   -0.110352E-05   -0.799963E-06   -0.811094E-06   -0.612206E-06   -0.200696E-06    0.451359E-06    0.133263E-05    0.239538E-05    0.737041E-05    0.244544E-04    0.369437E-04    0.443970E-04    0.437066E-04    0.354346E-04    0.226314E-04    0.102744E-04    0.353023E-05    0.582383E-05    0.168427E-04    0.330388E-04    0.484558E-04    0.572156E-04    0.558039E-04    0.966475E-04    0.142326E-04    0.204700E-03    0.235009E-03    0.877991E-04    0.245552E-03    0.261458E-03    0.931803E-04    0.258192E-03    0.306597E-03    0.155789E-03    0.266483E-03    0.264167E-03    0.874710E-04    0.175910E-03    0.196772E-03    0.591597E-04    0.128712E-03    0.115776E-03   -0.512589E-04   -0.180177E-03   -0.267016E-03   -0.304867E-03   -0.286562E-03   -0.237342E-03   -0.164786E-03   -0.100849E-03   -0.525848E-04
   160   -0.275677E-07   -0.546754E-06   -0.141118E-05   -0.133224E-05   -0.146149E-05   -0.132081E-05   -0.924327E-06   -0.200645E-06    0.771350E-06    0.207268E-05    0.724879E-05    0.271779E-04    0.435758E-04    0.537846E-04    0.545025E-04    0.455162E-04    0.302892E-04    0.148749E-04    0.535413E-05    0.596972E-05    0.171100E-04    0.351159E-04    0.533954E-04    0.649591E-04    0.650291E-04    0.116757E-03    0.177565E-04    0.218989E-03    0.281068E-03    0.115898E-03    0.273749E-03    0.313457E-03    0.125261E-03    0.284554E-03    0.361528E-03    0.202677E-03    0.300616E-03    0.310239E-03    0.121819E-03    0.193976E-03    0.225000E-03    0.849649E-04    0.143296E-03    0.129875E-03   -0.376609E-04   -0.194019E-03   -0.302815E-03   -0.351350E-03   -0.331966E-03   -0.276760E-03   -0.192895E-03   -0.118394E-03   -0.618241E-04
   180   -0.400289E-07   -0.822431E-06   -0.179454E-05   -0.207689E-05   -0.237498E-05   -0.234662E-05   -0.200322E-05   -0.125010E-05   -0.106999E-06    0.134679E-05    0.629073E-05    0.294417E-04    0.499461E-04    0.637233E-04    0.659239E-04    0.559016E-04    0.380847E-04    0.191633E-04    0.638637E-05    0.501560E-05    0.161377E-04    0.361358E-04    0.574783E-04    0.719294E-04    0.739352E-04    0.135907E-03    0.176059E-04    0.233288E-03    0.331550E-03    0.148466E-03    0.308558E-03    0.375266E-03    0.166155E-03    0.321665E-03    0.429990E-03    0.261473E-03    0.347776E-03    0.369660E-03    0.166475E-03    0.221465E-03    0.262583E-03    0.117180E-03    0.163826E-03    0.149171E-03   -0.205619E-04   -0.214270E-03   -0.351893E-03   -0.414786E-03   -0.393886E-03   -0.330292E-03   -0.230969E-03   -0.142121E-03   -0.742810E-04
