     0               2              12              22              32              42              52              62              72              82              92             102             132             162             192             222             252             282             312             342             372             402             432             462             492             522             552             652             752             852             952            1052            1152            1252            1352            1452            1552            1652            1752            1852            1952            2052            2152            2252            2352            2452            2752            3052            3352            3652            3952            4252            4552            4852
    20    0.351294E-08    0.131784E-07    0.156666E-09    0.421142E-07    0.113715E-06    0.177580E-06    0.280211E-06    0.399877E-06    0.539463E-06    0.653785E-06    0.157393E-05    0.284118E-05    0.125001E-05   -0.348224E-05   -0.104027E-04   -0.173096E-04   -0.217284E-04   -0.217132E-04   -0.165999E-04   -0.759264E-05    0.292751E-05    0.115500E-04    0.155654E-04    0.140465E-04    0.782235E-05   -0.747575E-06    0.806177E-05    0.157011E-03    0.180690E-03    0.209698E-03    0.335162E-03    0.366451E-03    0.370232E-03    0.415521E-03    0.418176E-03    0.401082E-03    0.367989E-03    0.331580E-03    0.314114E-03    0.242479E-03    0.191469E-03    0.204605E-03    0.139720E-03    0.888925E-04    0.257176E-03    0.217120E-03    0.511229E-04   -0.103107E-03   -0.189481E-03   -0.192570E-03   -0.142558E-03   -0.841395E-04   -0.409447E-04
    40    0.566061E-08    0.241033E-07    0.447328E-07    0.868579E-07    0.185125E-06    0.288804E-06    0.417946E-06    0.604477E-06    0.779997E-06    0.971765E-06    0.233994E-05    0.482219E-05    0.404183E-05    0.252249E-06   -0.589945E-05   -0.123942E-04   -0.168761E-04   -0.173207E-04   -0.130108E-04   -0.475694E-05    0.523800E-05    0.137793E-04    0.182550E-04    0.175957E-04    0.124733E-04    0.113210E-04    0.212080E-04    0.160379E-03    0.192074E-03    0.216586E-03    0.330864E-03    0.368231E-03    0.369547E-03    0.408481E-03    0.416335E-03    0.397230E-03    0.361030E-03    0.329247E-03    0.310234E-03    0.238216E-03    0.191152E-03    0.201995E-03    0.137370E-03    0.897888E-04    0.253918E-03    0.212751E-03    0.512125E-04   -0.990109E-04   -0.183572E-03   -0.187144E-03   -0.138715E-03   -0.819425E-04   -0.398859E-04
    60    0.207408E-08    0.315114E-07    0.782149E-07    0.158572E-06    0.296071E-06    0.452644E-06    0.650174E-06    0.906244E-06    0.120777E-05    0.149735E-05    0.367686E-05    0.807571E-05    0.871834E-05    0.619844E-05    0.888330E-06   -0.549294E-05   -0.105341E-04   -0.119509E-04   -0.851235E-05   -0.832565E-06    0.914804E-05    0.182238E-04    0.237961E-04    0.244577E-04    0.204208E-04    0.297436E-04    0.411357E-04    0.177917E-03    0.221251E-03    0.238231E-03    0.347813E-03    0.395362E-03    0.390098E-03    0.423694E-03    0.439914E-03    0.414976E-03    0.373296E-03    0.347069E-03    0.323000E-03    0.246334E-03    0.203326E-03    0.210452E-03    0.142242E-03    0.973729E-04    0.263824E-03    0.221779E-03    0.554711E-04   -0.982965E-04   -0.185669E-03   -0.190187E-03   -0.141262E-03   -0.835223E-04   -0.406794E-04
    80   -0.196190E-08    0.583111E-07    0.144475E-06    0.261502E-06    0.439052E-06    0.685319E-06    0.930848E-06    0.132576E-05    0.174497E-05    0.219819E-05    0.538007E-05    0.123635E-04    0.149010E-04    0.141160E-04    0.974668E-05    0.338628E-05   -0.255886E-05   -0.531423E-05   -0.306165E-05    0.409101E-05    0.142725E-04    0.243812E-04    0.315972E-04    0.340514E-04    0.314047E-04    0.544252E-04    0.675503E-04    0.205101E-03    0.264276E-03    0.270187E-03    0.377296E-03    0.439059E-03    0.423475E-03    0.451842E-03    0.480223E-03    0.445556E-03    0.395978E-03    0.377928E-03    0.345634E-03    0.260916E-03    0.223528E-03    0.225505E-03    0.150632E-03    0.109133E-03    0.281953E-03    0.236489E-03    0.619159E-04   -0.993545E-04   -0.191489E-03   -0.197262E-03   -0.146947E-03   -0.870291E-04   -0.424277E-04
   100    0.540767E-08    0.779681E-07    0.189824E-06    0.335466E-06    0.582286E-06    0.861855E-06    0.127806E-05    0.175140E-05    0.233612E-05    0.296260E-05    0.735831E-05    0.175266E-04    0.224578E-04    0.236010E-04    0.203797E-04    0.139634E-04    0.690193E-05    0.250063E-05    0.324930E-05    0.978512E-05    0.203342E-04    0.318130E-04    0.412726E-04    0.459506E-04    0.448961E-04    0.849531E-04    0.100211E-03    0.240211E-03    0.319471E-03    0.311851E-03    0.417207E-03    0.498421E-03    0.469109E-03    0.491402E-03    0.535744E-03    0.488078E-03    0.427992E-03    0.420687E-03    0.377444E-03    0.281268E-03    0.251164E-03    0.246448E-03    0.162060E-03    0.124947E-03    0.306778E-03    0.256843E-03    0.704149E-04   -0.101175E-03   -0.200166E-03   -0.207818E-03   -0.155382E-03   -0.922198E-04   -0.450094E-04
   120    0.403190E-08    0.783277E-07    0.196467E-06    0.394936E-06    0.678784E-06    0.104415E-05    0.155306E-05    0.217880E-05    0.295526E-05    0.378853E-05    0.947542E-05    0.231761E-04    0.308992E-04    0.343701E-04    0.324414E-04    0.258631E-04    0.175486E-04    0.111907E-04    0.103070E-04    0.159629E-04    0.268336E-04    0.400961E-04    0.520787E-04    0.594264E-04    0.604112E-04    0.119902E-03    0.137687E-03    0.281832E-03    0.386724E-03    0.363343E-03    0.467703E-03    0.572936E-03    0.527465E-03    0.542259E-03    0.606716E-03    0.543246E-03    0.469467E-03    0.475207E-03    0.418675E-03    0.307465E-03    0.286007E-03    0.273124E-03    0.176255E-03    0.144135E-03    0.337235E-03    0.281040E-03    0.800979E-04   -0.104273E-03   -0.211955E-03   -0.221813E-03   -0.166554E-03   -0.990831E-04   -0.484292E-04
   140    0.419880E-08    0.616175E-07    0.175249E-06    0.373943E-06    0.714314E-06    0.114456E-05    0.175201E-05    0.253081E-05    0.348039E-05    0.452888E-05    0.114687E-04    0.288027E-04    0.396543E-04    0.458120E-04    0.452097E-04    0.385539E-04    0.288026E-04    0.204365E-04    0.175563E-04    0.222054E-04    0.335718E-04    0.486779E-04    0.635104E-04    0.738868E-04    0.772258E-04    0.158386E-03    0.179523E-03    0.328888E-03    0.464523E-03    0.424528E-03    0.528934E-03    0.663122E-03    0.599922E-03    0.605839E-03    0.693247E-03    0.612283E-03    0.522110E-03    0.542138E-03    0.470099E-03    0.340515E-03    0.327987E-03    0.305928E-03    0.193911E-03    0.166689E-03    0.373473E-03    0.308503E-03    0.906136E-04   -0.108797E-03   -0.226889E-03   -0.239454E-03   -0.180669E-03   -0.107794E-03   -0.527765E-04
   160   -0.278413E-09    0.223091E-07    0.104588E-06    0.284551E-06    0.644092E-06    0.111242E-05    0.180543E-05    0.270968E-05    0.379102E-05    0.509171E-05    0.131431E-04    0.339522E-04    0.479689E-04    0.567632E-04    0.577065E-04    0.508660E-04    0.397374E-04    0.292782E-04    0.243853E-04    0.279354E-04    0.396736E-04    0.567601E-04    0.745619E-04    0.882315E-04    0.942726E-04    0.197856E-03    0.223690E-03    0.379291E-03    0.550360E-03    0.496066E-03    0.600324E-03    0.766824E-03    0.686797E-03    0.682926E-03    0.795109E-03    0.696061E-03    0.586577E-03    0.620682E-03    0.532345E-03    0.381269E-03    0.376774E-03    0.344499E-03    0.214908E-03    0.191941E-03    0.414238E-03    0.338212E-03    0.101227E-03   -0.114567E-03   -0.244875E-03   -0.260819E-03   -0.197848E-03   -0.118426E-03   -0.581035E-04
   180   -0.266433E-08   -0.734614E-07   -0.585598E-07    0.588454E-07    0.403757E-06    0.879459E-06    0.161852E-05    0.261552E-05    0.388431E-05    0.534097E-05    0.139858E-04    0.380423E-04    0.550520E-04    0.664897E-04    0.689035E-04    0.620420E-04    0.495145E-04    0.370181E-04    0.301430E-04    0.324865E-04    0.445064E-04    0.633334E-04    0.841490E-04    0.101174E-03    0.110099E-03    0.235189E-03    0.267054E-03    0.430351E-03    0.641257E-03    0.575812E-03    0.681873E-03    0.883814E-03    0.788929E-03    0.774667E-03    0.912176E-03    0.796085E-03    0.665433E-03    0.711347E-03    0.605976E-03    0.430937E-03    0.431863E-03    0.389031E-03    0.240050E-03    0.219247E-03    0.458308E-03    0.368181E-03    0.111156E-03   -0.122835E-03   -0.266436E-03   -0.286251E-03   -0.218333E-03   -0.131166E-03   -0.645043E-04
