     0               2              12              22              32              42              52              62              72              82              92             102             132             162             192             222             252             282             312             342             372             402             432             462             492             522             552             652             752             852             952            1052            1152            1252            1352            1452            1552            1652            1752            1852            1952            2052            2152            2252            2352            2452            2752            3052            3352            3652            3952            4252            4552            4852
    20    0.216190E-05    0.455714E-04    0.871575E-04    0.124655E-03    0.157085E-03    0.182985E-03    0.202058E-03    0.215366E-03    0.223369E-03    0.225631E-03    0.448322E-03    0.610295E-03    0.490277E-03    0.339072E-03    0.193992E-03    0.102959E-03    0.955595E-04    0.172017E-03    0.296023E-03    0.404850E-03    0.445355E-03    0.412889E-03    0.332652E-03    0.233717E-03    0.143818E-03    0.204444E-03    0.126138E-02    0.162052E-02    0.504694E-03    0.121734E-02    0.200919E-02    0.821174E-03    0.111552E-02    0.216255E-02    0.115538E-02    0.967668E-03    0.200824E-02    0.136723E-02    0.928893E-03    0.165827E-02    0.130445E-02    0.797977E-03    0.116803E-02    0.101282E-02    0.135809E-02    0.135846E-02    0.769676E-03    0.297785E-03    0.682115E-04    0.305366E-05    0.912027E-04    0.201333E-03    0.291557E-03
    40    0.192813E-05    0.411229E-04    0.791484E-04    0.114519E-03    0.145958E-03    0.172263E-03    0.193230E-03    0.208388E-03    0.218198E-03    0.222647E-03    0.445000E-03    0.606247E-03    0.485375E-03    0.338095E-03    0.199358E-03    0.110040E-03    0.100352E-03    0.170960E-03    0.285647E-03    0.387076E-03    0.429505E-03    0.403114E-03    0.328356E-03    0.233101E-03    0.145837E-03    0.210422E-03    0.121810E-02    0.158032E-02    0.507120E-03    0.117222E-02    0.195142E-02    0.815041E-03    0.106323E-02    0.208334E-02    0.113845E-02    0.911979E-03    0.192219E-02    0.134035E-02    0.871455E-03    0.157193E-02    0.127034E-02    0.752586E-03    0.109741E-02    0.979264E-03    0.129587E-02    0.131253E-02    0.757847E-03    0.296032E-03    0.596962E-04   -0.170757E-04    0.674423E-04    0.179836E-03    0.276985E-03
    60    0.174474E-05    0.374765E-04    0.728159E-04    0.106609E-03    0.137952E-03    0.165658E-03    0.189043E-03    0.207427E-03    0.220392E-03    0.227712E-03    0.459536E-03    0.632049E-03    0.505369E-03    0.356536E-03    0.218048E-03    0.126523E-03    0.113542E-03    0.179527E-03    0.285956E-03    0.382127E-03    0.428411E-03    0.410388E-03    0.340512E-03    0.246366E-03    0.158331E-03    0.234176E-03    0.122306E-02    0.160992E-02    0.544064E-03    0.117387E-02    0.196877E-02    0.855502E-03    0.104679E-02    0.207985E-02    0.117719E-02    0.880484E-03    0.189706E-02    0.137197E-02    0.832355E-03    0.152530E-02    0.128347E-02    0.723358E-03    0.104533E-02    0.975371E-03    0.126751E-02    0.130646E-02    0.775801E-03    0.302220E-03    0.449960E-04   -0.541031E-04    0.291556E-04    0.156053E-03    0.270434E-03
    80    0.160178E-05    0.343700E-04    0.671992E-04    0.995401E-04    0.130735E-03    0.159713E-03    0.185358E-03    0.206731E-03    0.223027E-03    0.233659E-03    0.476983E-03    0.669845E-03    0.540803E-03    0.387761E-03    0.246159E-03    0.150951E-03    0.134840E-03    0.195290E-03    0.292326E-03    0.382230E-03    0.432284E-03    0.424405E-03    0.362227E-03    0.269619E-03    0.179566E-03    0.274505E-03    0.125564E-02    0.167498E-02    0.610075E-03    0.120276E-02    0.202291E-02    0.928499E-03    0.104902E-02    0.210509E-02    0.124925E-02    0.856534E-03    0.188928E-02    0.143208E-02    0.793943E-03    0.148353E-02    0.131509E-02    0.692274E-03    0.990756E-03    0.979285E-03    0.124002E-02    0.130532E-02    0.795690E-03    0.301429E-03    0.130152E-04   -0.112686E-03   -0.250768E-04    0.126112E-03    0.266727E-03
   100    0.148492E-05    0.321462E-04    0.632091E-04    0.942521E-04    0.124974E-03    0.154112E-03    0.181156E-03    0.204606E-03    0.223765E-03    0.237505E-03    0.491029E-03    0.711987E-03    0.588749E-03    0.431526E-03    0.283701E-03    0.184666E-03    0.165672E-03    0.219039E-03    0.305234E-03    0.387301E-03    0.439981E-03    0.443595E-03    0.392290E-03    0.303641E-03    0.211544E-03    0.337528E-03    0.131962E-02    0.176980E-02    0.716157E-03    0.126400E-02    0.210915E-02    0.103951E-02    0.107513E-02    0.215180E-02    0.135166E-02    0.843110E-03    0.189104E-02    0.151003E-02    0.754611E-03    0.143680E-02    0.135005E-02    0.654408E-03    0.925104E-03    0.978069E-03    0.119751E-02    0.128366E-02    0.799384E-03    0.277823E-03   -0.466729E-04   -0.200402E-03   -0.100540E-03    0.887755E-04    0.266937E-03
   120    0.143033E-05    0.310149E-04    0.610292E-04    0.911437E-04    0.121081E-03    0.150083E-03    0.177308E-03    0.201806E-03    0.222743E-03    0.238968E-03    0.499895E-03    0.753876E-03    0.646117E-03    0.487688E-03    0.333717E-03    0.231830E-03    0.209696E-03    0.253902E-03    0.326976E-03    0.399269E-03    0.452580E-03    0.468124E-03    0.431512E-03    0.350549E-03    0.258264E-03    0.434472E-03    0.142829E-02    0.190083E-02    0.879307E-03    0.137368E-02    0.223383E-02    0.120044E-02    0.113751E-02    0.222571E-02    0.148757E-02    0.849670E-03    0.190357E-02    0.160149E-02    0.715473E-03    0.138383E-02    0.138060E-02    0.605998E-03    0.845746E-03    0.964232E-03    0.112558E-02    0.121938E-02    0.765342E-03    0.214215E-03   -0.149658E-03   -0.326888E-03   -0.200917E-03    0.456154E-04    0.275073E-03
   140    0.140360E-05    0.306328E-04    0.601130E-04    0.896094E-04    0.118939E-03    0.147265E-03    0.174168E-03    0.198803E-03    0.220482E-03    0.238396E-03    0.503670E-03    0.790228E-03    0.707187E-03    0.556317E-03    0.401760E-03    0.299504E-03    0.272539E-03    0.304181E-03    0.361097E-03    0.421175E-03    0.472887E-03    0.499742E-03    0.481191E-03    0.413616E-03    0.326601E-03    0.584834E-03    0.160151E-02    0.208006E-02    0.112923E-02    0.155703E-02    0.240961E-02    0.143142E-02    0.126030E-02    0.233333E-02    0.166239E-02    0.892377E-03    0.192823E-02    0.169693E-02    0.683200E-03    0.132121E-02    0.139107E-02    0.542462E-03    0.748116E-03    0.923074E-03    0.100387E-02    0.108071E-02    0.666386E-03    0.910128E-04   -0.308954E-03   -0.496982E-03   -0.326418E-03    0.136994E-05    0.297760E-03
   160    0.138836E-05    0.304143E-04    0.596186E-04    0.886074E-04    0.117293E-03    0.144966E-03    0.171333E-03    0.195683E-03    0.217633E-03    0.236556E-03    0.503712E-03    0.817577E-03    0.766285E-03    0.637366E-03    0.495008E-03    0.395876E-03    0.361580E-03    0.376289E-03    0.413342E-03    0.458169E-03    0.505671E-03    0.542914E-03    0.545180E-03    0.498639E-03    0.425651E-03    0.813563E-03    0.187169E-02    0.233316E-02    0.150684E-02    0.185178E-02    0.266316E-02    0.176364E-02    0.147782E-02    0.249711E-02    0.189179E-02    0.994651E-03    0.197781E-02    0.179689E-02    0.665005E-03    0.125304E-02    0.137289E-02    0.459322E-03    0.630358E-03    0.844364E-03    0.809159E-03    0.833908E-03    0.474727E-03   -0.109169E-03   -0.536841E-03   -0.714813E-03   -0.474107E-03   -0.341286E-04    0.347501E-03
   180    0.135847E-05    0.296344E-04    0.581129E-04    0.863645E-04    0.114296E-03    0.141304E-03    0.167198E-03    0.191346E-03    0.213467E-03    0.232915E-03    0.498509E-03    0.831471E-03    0.817922E-03    0.731732E-03    0.620022E-03    0.530816E-03    0.486944E-03    0.479911E-03    0.492297E-03    0.518013E-03    0.558789E-03    0.605315E-03    0.631217E-03    0.615238E-03    0.568923E-03    0.115570E-02    0.228948E-02    0.270148E-02    0.207445E-02    0.232188E-02    0.304108E-02    0.224951E-02    0.184929E-02    0.275479E-02    0.220771E-02    0.120237E-02    0.207663E-02    0.190939E-02    0.683135E-03    0.118765E-02    0.131758E-02    0.358965E-03    0.492818E-03    0.716217E-03    0.523463E-03    0.448342E-03    0.169917E-03   -0.393626E-03   -0.829590E-03   -0.964678E-03   -0.623954E-03   -0.372023E-04    0.446771E-03
   200    0.125416E-05    0.276173E-04    0.543126E-04    0.809989E-04    0.107739E-03    0.133976E-03    0.159368E-03    0.183255E-03    0.205399E-03    0.225084E-03    0.484231E-03    0.828606E-03    0.861354E-03    0.840690E-03    0.782054E-03    0.713246E-03    0.660606E-03    0.628648E-03    0.611629E-03    0.613949E-03    0.645251E-03    0.700291E-03    0.753336E-03    0.778526E-03    0.773521E-03    0.165512E-02    0.293493E-02    0.325855E-02    0.291561E-02    0.306672E-02    0.362193E-02    0.296499E-02    0.246773E-02    0.317576E-02    0.266484E-02    0.158548E-02    0.227527E-02    0.206163E-02    0.773554E-03    0.115357E-02    0.123516E-02    0.251858E-03    0.346276E-03    0.537401E-03    0.135984E-03   -0.933214E-04   -0.260131E-03   -0.754712E-03   -0.116787E-02   -0.121232E-02   -0.739181E-03    0.338777E-04    0.633524E-03
   220    0.109146E-05    0.242331E-04    0.479291E-04    0.721400E-04    0.967747E-04    0.121475E-03    0.145907E-03    0.169198E-03    0.191040E-03    0.210989E-03    0.457689E-03    0.812323E-03    0.905244E-03    0.968639E-03    0.982990E-03    0.949198E-03    0.894263E-03    0.838004E-03    0.789405E-03    0.765607E-03    0.786114E-03    0.850311E-03    0.935444E-03    0.101153E-02    0.106131E-02    0.236141E-02    0.391268E-02    0.411324E-02    0.413725E-02    0.421564E-02    0.452702E-02    0.402344E-02    0.346132E-02    0.387353E-02    0.336268E-02    0.225226E-02    0.266549E-02    0.232878E-02    0.100924E-02    0.121380E-02    0.117368E-02    0.182052E-03    0.227130E-03    0.336642E-03   -0.305069E-03   -0.743284E-03   -0.769721E-03   -0.113323E-02   -0.147690E-02   -0.137409E-02   -0.738043E-03    0.249722E-03    0.964579E-03
